Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
,,,,Undecided/Unclear,,,"disrupted condition of the hull j of the ship , to make out the cause | of the explosion , the opinion of < the majority is that the question j will Ire easily settled by the sim | ^ pie observation"
,,,,Undecided/Unclear,,,"e `` Maine . '' - , . .- ' Captain Dickens , chief of the riavl jritioa bupe.iu , expressed the opinion tbe magazine of the `` Maine . '' He ald thi3 was evidant for the reason that the ship was aflo"
,,,Undecided/Unclear,,,,"hought possible to say as to which theory the balance of probability Inclines , a congressional opinion . ' Washington , February 16 . Chair man Hitt , of the foreign affairs com mittee , Chairman Di"
,,,Attack,,,,"r information before expressing an opinion . Ex Senator Butler , of South Carolina , was of the opinion that some bold man bad gone ' aboard tbe `` Maine '' and placed a grenade , with a slow match ,"
,,,,Attack,,,"rbor was the result of treachery and -.an act without parallel in the world'B his tory . In bis opinion ' war must Inevitably folliw . `` When divers examine tbe hull of the vessel , '' said Comeoand"
,,Suspend Opinion,,,,,"xternal cause . '.The -captain said , on the contrary , that he could not venture to expiess an opinion . . i The navy department received a f v m m t . at Vin VlinrilQI Uail IllliiUUI - OF LAS ... C"
Accident,,,,,,,"s and men aboard the Warship `` Maine , '' at the time of the explosion . It Is i the universal opinion of all that the explo sion was due to some Interior cause , and hot the result of the explosion"
Accident,,,,,,,"t dent or our relations witn bpain regard ing Cuba that will lead to a war . I am firmly of the opinion that the explosion of the `` ilaine '' was due -to accident , and I think the naval Court or in"
,,,,Undecided/Unclear,,,"from Havana 25 : of the officers and sailors of the bat . tiesbip Maine are dead or missing The opinion prevails that the explo don took place in the magasine ant from gun cotton stored for torpede p"
Undecided/Unclear,,,,,,,"covered , and tbat the Spanish authorities were about to re move all such evidence . We have no opinion to offer at this writing whether it was an accident or whether it was tbe work of tbe SpanU-h a"
,,Suspend Opinion,,,,,"ASH INGTON Navy Department Informed by Captain Sigsbee but No Details Given . Asked That Public Opinion Be Suspended Until Fur­ ther Reports . HAVANA , Feb. 16.—At 9:45 o'olock a terrible explosion t"
,,Suspend Opinion,,,,,"gren­ ade shell that was huried over the navy yard . SIGSBEE SENDS A REPORT . Asks That Public Opinion Be Withheld for the Present . WASHINGTON . Feb. ltf.—The secre­ tary ot the navy received the f"
,,Suspend Opinion,,,,,"ceB of equip­ ment still above water . No one had ether clothes than those upon him . `` Public opinion should be suspended till further report . All officers believed to be 8uved . Jenkins and Merri"
,,,Accident,,,,"elay that would have arisen from the use of cipher . ______ LONG HAS LITTLE TO SAY . ] i of the Opinion the Explonlon Wa* of Accidental Origin . WASHINGTON , Feb. 16 . Secretary lioug received Captai"
,,Attack,,,,,"l to Washington . One of the Floating Kind Used In Destroying the Bat­ tleship Maine . Such the Opinion of Captain Sigsbee as Forwarded to Washington . SURVIVORS AT KEY WEST Officers Reticent in Expr"
Accident,,,,,,,"ion of design . There­ fore , my impression has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been accidental . '' The secretary also"
Undecided/Unclear,,,,,,,"ject of interviews with him . The first said : `` I have consistently re frained expressing any opinion of the Maine disaster . '' rm . It clings tenaciously un $ l to p** day he wired : `` No vestig"
,,Suspend Opinion,,,,,"ed-Sigsbee Cables for | I Aid to Pick Up the Pieces Still Afloat | \ M | A Suspension of Public Opinion Asked Until Further Report Is Made—The f , Spaniards Are Suspiciously Sympathetic—The President"
,,Suspend Opinion,,,,,"t still above water . ' M `` No one saved had clothes other than those upon him . 1 » `` Public opinion should be suspended until further report . % `` All officers believed to be saved . m `` Jenkin"
Undecided/Unclear,,,,,,,"do not think tho torpedo theory tenable and I do not believe Cap tain Sigsbee expressed such an opinion . '' NO TENABLE THEORY OFFERED NEW YORK , Feb. 17.—A dispatch to the Herald from Havana says :"
Undecided/Unclear,,,,,,,"e explosion , whether from within or without tho ship . He stated that prob ably no Intelligent opinion could be formed until divers make an Investigation of the ship . More Blythe Litigation SAN FRA"
,,,,,,Undecided/Unclear,"ght of wheh the horror may be Justly viewed . Secretary Long undoubtedly summarized the general opinion of the majority of the naval experts in finding It impossible just now to state the cause of th"
,,,,Undecided/Unclear,,,"ected that this work will take some time , and while there are officers who say that , in their opinion , it will not be possible , owing to the probable disrupted condition of the hull of the ship ,"
,,,,Undecided/Unclear,,,"able disrupted condition of the hull of the ship , to make out the cause of the explosion , the opinion of the majority is that the question will be easily settled by a single observation of the cond"
Undecided/Unclear,,,,,,,"inite information as to the cause and results of the Maine catastrophe , I would not venture an opinion upon it . If it was an accident , as the first dispatches seem to indicate , it was most de plo"
,,,Undecided/Unclear,,,,"eachery , I am convinced . '' Senator Mills of the committee on foreign relations expressed the opinion that the occurrence was the work of a torpedo . `` I would not say , '' he said , `` that the S"
,,,Accident,,,,"of the kind than there would have been in our own harbors . '' Senator Morrill said : `` In my opinion the occurrence is the result of an accident . X have no Idem that any Spaniard had anything wha"
,,,Undecided/Unclear,,,,"topic of consideration by the senate com mittee on foreign relations at Its meeting today . The opinion generally expressed by members of the committee in its formal conference were to the effect tha"
,,,Undecided/Unclear,,,,"lanation . Most of the members of the committee refused , after the conference , to express any opinion concerning the occurrence . `` It ls too serious to talk about at prcs nit , '' said Senator Lo"
,,Suspend Opinion,,,,,". Capt . Sigsbee , ln his telegrams from Havana , stales that he Is not prepared to express an opinion on this point . Among the matters discussed by the president and members of the cabinet was the"
Undecided/Unclear,,,,,,,"n ships . '' It thinks tho theory that the boilers burst is absurd , and , after expressing the opinion that there Is no apparent justifica tion of foul play , tt suggests that some new and dangerous"
,,,,,,Accident,"l Diario expresses sorrow for the dls ster , which ls de STILL IN DOUBT The consensus of expert opinion re garding the disaster to the Maine is that it was purely an accident . Some of the naval offi"
Attack,,,,,,,"cials of the government are waiting for an expert Inquiry into the cause of the disaster ; the opinion steadily grows stronger that the warship was sunk by the explosion of her own magazine . 2 tion"
,,Attack,,,,,"etary Long positively denies that Capt . Sigsbee has ln any suppressed tele grams expressed the opinion that a tor pedo caused the disaster or that It come from an external cause . The captain said ,"
,,Undecided/Unclear,,,,,"n external cause . The captain said , on the contrary , that ho could not venture to express an opinion . I Th navy department received a dispatch this morning from Admiral Slcard . ln com mand of th"
Accident,,,,,,,"current here to day , the divers have not made any investi gation of the wreck and the general opinion expressed in Spanish circles ls that the ox ploslon occurred Inside the Maine . ALL CIVILIZATIO"
Undecided/Unclear,,,,,,,"nal ; that is , that it came from the magazine of the ship rather than from an outside agency . Opinion is still divided as to whether it was the work of an enemy , nor is there yet any evi dence con"
,,,,Undecided/Unclear,,,"as to the appearance of the wreck or ln the conflicting stories of the survivors to change the opinion of the ma jority of the officers stationed in the navy department that the Maine sunk as the re"
Accident,,,,,,,"an internal explosion . As to the origin of this explosion there ls still a wide difference of opinion , but the coal bunker theory today finds very many more strong Supporters than any other theory"
Undecided/Unclear,,,,,,,"oa , at the time of the disaster there , was seen at his home In West Newton . Asked to give an opinion on the cause of the sinking of the Maine , he said : `` One thing seems to me certain—the less"
Attack,,,,,,,"VILLE , Fla. , Feb. 17 A spec al to the Tlmeo-Unlon and Herald from icy West says : The general opinion of nany persons here ls that the Maine was lit by a torpedo , after which the maga lne exploded"
,,,,Attack,,,"The first was not as severe , s the one which blew up the ship . Other urvtvors are of the same opinion that It ras foul work , Martin Riordan , a sub norine diver of Key West , and a survivor f the"
,,,,Undecided/Unclear,,,"CELONA , Feb. 17.—Lieutenant Gen eral Valerlano Weyler , who arrived here today , expressed the opinion , in the course of an interview , that the disaster which had befallen the United States warshi"
Accident,,,,,,,"receipt of Capt . Slgsbee 's first dli- + patch announcing the destruction of i the Maine ; tbe opinion grows that the i catastrophe was cawed by an acoi * dent , but , only investigation will re- +"
Attack,,,,,,,"ived from Havana , while refusing + to be personally quoted , do not hesi + tate to express Hie opinion that the + Maine was deliberately blown up by + Spaniards anxious to precipitate war ♦ with the"
,,,,,,Undecided/Unclear,"be out of place at a time of such mourning and these will be suspended for the present . EXPERT OPINION Concerning Destruction of the War- ship Maine WASHINGTON , Feb. 18.-The opinion of one of the l"
,,,,,,Attack,"resent . EXPERT OPINION Concerning Destruction of the War- ship Maine WASHINGTON , Feb. 18.-The opinion of one of the leading- experts ln the use of high explosives , Professor Alger of the ordnance"
,,,,,,Undecided/Unclear,"NIONS Randolph H. Miner , who was for some years ln the navy , was seen yesterday and asked his opinion of the explosion on board the Maine . `` It is hard to do anything- more than surmise , '' he s"
Accident,,,,,,,"cation of design . There fore my Impression has been all along , and I rathen think the general opinion preponderates In the same direction , that It must have been accidental . NO DISCUSSION IN THE"
Undecided/Unclear,,,,,,,"would probably have been double banked . It I was still ln the service I would not express any opinion , for there is time enough to do that when the facts are known , but as the thing stands now I"
Undecided/Unclear,,,,,,,"ln preparing for the safety of the Vizcaya during her stay in this port . He was asked for his opinion as to the cause of the explosion on the Maine . His reply was : `` 1 know the cause of the ex p"
Suspend Opinion,,,,,,,"ace tho awful calamity that has over taken us , when we should restrain any , ex pression of an opinion or our- belief as to bow this awful disaster was brought about until a proper , regular and for"
Undecided/Unclear,,,,,,,"Sigsbee and all officers here arf very anxious for news from the United States as to the public opinion there . Tht Captain Ims done all he can to calm the excitement in the United States and to in d"
,,,,,,Attack,"Syl vester Scovel , under today 's date from Havana , via Key West , says : `` The consensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
Suspend Opinion,,,,,,,"erviews with him . The llrit merely said : `` I have consistently refrained from expressing any Opinion on the .Maine disaster . '' Later in the day he wired : `` No newspa per divers have been used"
Attack,,,,,,,". The nature of tin nnnir.gc to the port , side has not been folic si • '' ' but the weight of opinion seems to bo that the bole was made by nil external exp.o slon . Capt . sigsbee thinks that the"
,,,,Accident,,,"te chief of artil lery In the Insurgent army of Cuba , talk ing to a reporter , gives it as his opinion that the destruction of the Maine was due to an accident . Colonel Funston spent over a year in"
Attack,,,,,,,"g about ti crisis . TOURISTS FROM CUBA t TELL THE STORY OF THE MAINE DISASTER THEY ALL HOLD ONE OPINION The Warship Was Destroyed by De sign and the Spaniards Do Not Regret It Associated Press Specia"
Attack,,,,,,,"t prevailed at Havana , and at the time of sailing the foreign population were generally of the opinion that Ihe Maine was destroyed by design . They cited among other things In support of this the o"
Undecided/Unclear,,,,,,,"garding the cause of the Maine disaster should at least prepare themselves for daily changes of opinion , since the stock of theory and conjecture is not nearly ex hausted , and the Associated Press"
Attack,,,,,,,"of Robert Lincoln and that of Fred erick R. Coudert . It Is unfortunate for the former that his opinion regarding the liability of Spain for the Maine dis aster was placed ln juxtaposition with that"
Accident,,,,,,,"orpedo and the excitement was great , as in that case war would be in evitable . But the better opinion is that it is an accident , though what caused it remains a mystery . Some of the officers in t"
,,Suspend Opinion,,,,,"ieces of equipment still abovo water . No one had other clothes than those upon him . `` Public opinion shouldbe suspended till further report . AU oflleers believ ed to bo saved . Jenkins aud Merrit"
,,,Accident,,,,"s not an accident . When he came out of tho white houso Wednesday Secretary Long ex pressed tho opinion that tho ship had been destroyed by an accidental explo sion of its magazines , and this was th"
,,,,,,Undecided/Unclear,"of which tho horror may be just ly viewed . Secretary Long undoubtedly sum marized tho general opinion of the majority of tho naval experts in find ing it impossible just now to state the cause of t"
Undecided/Unclear,,,,,,,"bably dis rupted condition of the hull of the ship to make out the cause of the explosion , tho opinion of a majority is that the ques tion will bo easily settled by tho simple observation of tho con"
,Accident,,,,,,"d men who were aboard tlie warship Maine at tho time of the explosion , and it is the universal opinion of all of them that the explo sion was due to somo interior cause , and not the result of the e"
,,,,Undecided/Unclear,,,"Adm. Sicard telegraphed Secretary Long from Key West Thursday afternoon as follows : `` In the opinion of Lieut . John Hood , of the Maine , who has just arrived from Havana , tho Maine can never ag"
Accident,,,,,,,"that many people in the United States be lieve the explosion w as accidental co incide with the opinion held by tho Spanish officials and the excitement which followed tho disaster has sub sided into"
,,Suspend Opinion,,,,,"pieces of equipment still above waters No ne had other clothes than those upon him . `` Public opinion should be suspen ded till further report . All officers beleived to be saved . Jenkins and Merr"
,,Suspend Opinion,,,,,"ieces of equipment still above water . Ne one had ether clothes than these upon him . `` Public opinion should be suspended till further report . All eilicers believ ed te be saved . Jenkins and Merr"
,,,,,,Undecided/Unclear,"of which the horror may be just ly viewed . Secretary Leng undoubtedly sum marized the general opinion of the majority of the naval experts in find ing it impossible just new te state the cause of t"
,,,,Undecided/Unclear,,,"pected that thih work will take some time , and while there are officers who say that in their opinion it will net hi possible , owing te the probably dis rupted condition of the hull of the ship te"
,,,,Undecided/Unclear,,,"bably dis rupted condition of the hull of the ship te make out the cause of the explosion , the opinion of u majority is that the ques tion will be easily settled by the simple observation of the con"
,,,Accident,,,,"erminated . RaSSTWhat Morrill Says . ZZ Washington , Feb. 17 . Senator Mor rill said : `` In my opinion tho occur rence is the result of 'an accident I have no Idea that any Spaniard had anything wha"
,,,,,,Undecided/Unclear,"o other warship will be sent to Ha vana . '' Secretary Long undoubtedly sum marizes the general opinion of the naval experts in finding it impossible just now to state the cause of the de struction o"
,,,,Undecided/Unclear,,,"xpected that this work will take some time , and while there are officers who say that In their opinion it will not be possible , owing to the probable disrupted condition of the hull of the ship , t"
,,,,Undecided/Unclear,,,"able disrupted condition of the hull of the ship , to make out the cause of tho explosion , the opinion of the majority is that the question will be easily settled by the simple observa tion of the c"
Accident,,,,,,,"ite informa tion as to the causes and results of the Maine catastrophe , I would not venture an opinion upon it . If it was an acci dent , as tho first dispatches seem to indicate , it was most deplo"
,,,Attack,,,,"pedo . Washington , Feb. 17 . Senator Mills of the committee on foreign relations expressed the opinion that the occur rence was the work of a torpedo . `` I would not say , '' ho said , `` that the"
,,,,Undecided/Unclear,,,"Adm. Sieard telegraphed Secretary Leng from Key West Thursday afternoon as follews : `` In the opinion of Lieut . Jehn Heed , of the Maine , who has just arrived from Havana , the Maine can never ag"
Accident,,,,,,,"nd men who were aboard the warbhip Maine at the time of the explosion , and it is the universal opinion of all of them that the explo sion was due te some Interior cause , and net the result of the e"
,,Accident,,,,,"that many people in the United States be lieve the explosion was accidental co incide with the opinion held by the Spanish officials and the excitement which followed the disaster has sub sided into"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No one had other clothes than those upon him . Public opinion should be bob ponded till further report . All officers believed to be saved . Jenkins and Merr"
,,,,Undecided/Unclear,,,"positively whether it was or not . Jhe officers of the ship are not as yet ready to express an opinion as to the cause . There is an under current of feeling that the calamity is due to Spanish trea"
Undecided/Unclear,,,,,,,"the explosion to treachery , while others prefer to wait for developments before expressing an opinion . A dispatch from Key West states that the divers havq discovered a percussion hole in a plate"
,,Suspend Opinion,,,,,"f equipment still above ( water ) . 2Vo one hat ] other clothes than those upon him . `` Public opinion should he suspended un til further report . All ollh frs believed to l ) e saved . Jenkins and"
,,Suspend Opinion,,,,,"pieces of equipment still above water . None had other clothes than those upon him . `` Public opinion should be suspended till further report . All officers believ ed to be saved . Jenkins and Merr"
,,,,,,Undecided/Unclear,"was a demand for an investiga tion at once . Secretary Long undoubt edly summarized the general opinion of the majority of the naval experts in finding it Impossible just now to state the cause of th"
,,,,Undecided/Unclear,,,"ssible owing to the probable condition of the hull to make out-the cause of the explosion , the opinion is that the question will be 'easily settled by the simple observation of the condition of the"
,,,,Undecided/Unclear,,,"ough that was the most significant indication in the whole mat ter . WORK OF TH 1 ! SPANIARDS . Opinion of Counsel for the Cuban Junta in New York . New York , Feb. 16 . Horatio s ! Ru bens , counsel"
,,,,,,Attack,"wis Nixon , designer of the battle ships Indiana and Massachusetts , stat ed to-day that in his opinion it would be possible for spontaneous combustion to have caused the explosion in the magazine of"
Undecided/Unclear,,,,,,,"of such a ship and that so many lives had to be sacrificed . Of course I could not ex press an opinion as to whether the dis aster was due to accident or Spanish design , as nothing but most meagre"
,,,,,,Undecided/Unclear,"best qualified to guess largely agree that the Maine was n't wrecked by a hostile torpedo . The opinion of Professor Alger , of the Ordnance bu reau , and one of the leading experts In the use of hig"
Undecided/Unclear,,,,,,,"erviews with him . The first merely said : `` I have consistently refrained from expressing any opinion on the Maine disaster . '' Later in the day he wired : `` No newspaper divers have been used on"
,,,,Attack,,,"orma tion from Havana to the same effect . The World telegram is as follows `` The concensus of opinion of those who have studied the wreck closest is now that the explosion was caused by a submarine"
Undecided/Unclear,,,,,,,"subject of .interviews it him The fiTBt said : `` I have consistently re frained expressing any opinion of . the Maine disaster . '' Later in 'the 'Say ' fie `` wired : N newspaper divers have been u"
Accident,,,,,,,"t so far as a judgment could bo -basedj , on . tho reports received , lie Was de cidedly of the opinion that tho explosion had occurred Inside the Maine . Tbo idoa of treachery in tho blowing up of t"
,,Suspend Opinion,,,,,"alno . OapU Blgsbeo had asked , however , In his message re porting the catastrophe that publlo opinion be suspended until he could msko au investigation . The President and Socretary Long recognized"
,,,Accident,,,,"nized tho wisdom ol this request and seconded It heartily . Later In tbe day both uxpreised tbo opinion that tho explosion which destroyed tho Malno was thu result ot an accident , Mr , Long supple m"
,,Suspend Opinion,,,,,"w pieces ot equipment still abovo water . No one had other clothes than thoso upon hlu . Public opinion should ho sus pended until further report . All officers be lieved to Lo savod . Jenkins and Me"
,,,,Undecided/Unclear,,,"bonght he had a theory which might account for the explosion , but it would be rash to form any opinion till diver can make an examination of tho Maine 's hull . Capt . Glass then went on to recall a"
Undecided/Unclear,,,,,,,"nd one who was will ing to say that tho explosion was not tho roeult of design . Elsewhere that opinion did not find such unanimity of support . Gen. Benjamin F. Tracy . Secretary of tho Navy under H"
Accident,,,,,,,"ose ? reports.to war rant ! tho conclusion that the disaster ; was tho rosult.of.doslim . In my opinion the explosion was the result of nn accident , caused , perhaps , by the uiagazlno becoming over"
Attack,,,,,,,"icers stood In llttio knots dteuusslng the explosion . As has been sold , most of them held tho opinion that `` Spain did It . '' All of them , however , scouted the Idea that the destruction of tbo"
,,,Undecided/Unclear,,,,"e , their two sons , and tho family Itmnts . The ex-MInlster positively doclined to `` press an opinion as to tho Maine disaster , and declared that he would inako no statement M any nature to the Am"
,,,,Undecided/Unclear,,,"pproaching thai of th- celebrated Welsh navi* gallon coal , the British naval standard . in the opinion of Capta Bi ? . ' ird nelthi r of these coals is particularly subject to sponta com ? n ? | < i"
,,,Undecided/Unclear,,,,"auspenstoO of opinion concerning the eatne Of the disaster . It is to be observed that Official opinion Bl Washington and much of th ? best expert opinion among naval oilicers and engineers still cou"
,,,,Undecided/Unclear,,,"isaster . It is to be observed that Official opinion Bl Washington and much of th ? best expert opinion among naval oilicers and engineers still countenances the theory ? > f acci ? dent , or , al an"
,,Undecided/Unclear,,,,,"xoneration from any blamo . In none of bis official despatches has Capt . Slgsbee expressed any opinion as to what caused bcr destruction . This cautious proceeding ls Justified by the courtesy which"
Undecided/Unclear,,,,,,,"doorany ex ternal cause . Common sense can accopt no such theory . Tho only reason that such an opinion Is held at all ls that tbo accident happened at this time in tbe harbor ot Havana . Sensible me"
Accident,,,,,,,"exploding torpedo ls expended under water , and tbe characteristic sound ls a dull roar . In my opinion tbe causo of the disaster was the explo sion of the magazine from within . There is constant da"
,,Suspend Opinion,,,,,"that It would be well to take literally Capt . Slgsbee 's advice about the suspension of publlo opinion and not to indulge in the view that an accident caused the diraster until the board ot Inquiry"
,,,Accident,,,,"many peoplo In the United States l ? el|.-ve th.- explosion was ac ? cidental coincide with the opinion held by the Spanish officiate , and the excitement which fol ? lowed the diaa-Fter ha ? subside"
,,,,Accident,,,"district . Speaking ot the blowing np of tho American warship Maine , Gen. Weyler expressed the opinion that tbe loss of the ship was due to the lndolonce of her crew . Cuban autonomy , Gen. Weyler s"
Accident,,,,,,,"tion of doslgn . Therefore , my Impression has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been accidental . At the Cabl not mooti"
,,,Suspend Opinion,,,,"ho truth . Official Washington , from thePresidont to the newest Representative , bos suspendod opinion on tho disustcr. `` In such enses , '' to quoto tbe golden words of Capt . tiigsbee , `` It is"
Accident,,,,,,,"ed broadcast , end tbe traducers of the Administration were again rebuked . In ox- Sresslng tbe opinion that tbe explosion on the Inlne was accidental . Secretary Long does not claim any knowledge ex"
,,,,Accident,,,"im any knowledge except the ciport views of tho ordnance officers of tho Navy Department In his opinion there is absolutely no evi dence that tbo Spaniards had a hand in tho terrible affair , but be"
Undecided/Unclear,,,,,,,"riving piles , and tho planking could be done by the divers of both nations without friction of opinion , as tholr opinions would not bo desired , bnt their work simply . This would cost much less th"
Undecided/Unclear,,,,,,,"cribed the excitement following tho explosion much as Mrs. De Naghten described 1U Ho said that opinion in Havana was divided as to the cause of tho oxplosion , tho foreigners Konerally believ ing th"
,,Attack,,,,,"etary Long positively denies that Captain Slgsbee has In any suppressed telegrams expressed the opinion that i torpedo caused the disaster or that it came from an external cause . The raptain said ,"
Attack,,,,,,,"F_U > . IS . ? \ aj ? clal i the Times-Union and Ciiizv.i from K. y W. st soys : `` The general opinion < .T many pers h re is that the Maine was hit by a tor . pedo , after .which ] the magazine plo"
Attack,,,,,,,"own ships . '' Jt thinks the theory that the boilers burst absurd ; and , a.fter expressing Hie opinion that there Is `` no apparent jus ? tification of foul play , '' It suggests-that some new nnd d"
,,,,,,Undecided/Unclear,"horror may be justly viewed . Secretary l.ong undoubtedly s ? nvma ! ? : ? /. ? . d the general opinion of ihe majori ? ty of the naval experts in Unding It Im ? possible Just now ito state the cause"
Undecided/Unclear,,,,,,,"dis ? rupted condition of the hull of the ship , to niako out the cause of the explu sion , the opinion of the majority is that Hhe question will be easily settled by the simple observation of the co"
,,,,Accident,,,"n extremely cr < tillable . Captain Dicklns , chief qf the X ivl gation Bureau , expressed tlie opinion to-day that tho explosion look place in the magazine of the Maine . He said that this was evide"
Undecided/Unclear,,,,,,,"the American people that th- , . explosion w.. ? an accident . He would not wish lo express an opinion until furthei information wan received . Mr. CummingS , Of New i'orki a mem ? ber of the Naval"
,,,,Attack,,,". CummingS , Of New i'orki a mem ? ber of the Naval Committee , unhesitat ? ing gnve it as Ills opinion that the .-'hip had been blown up by a floating tor ? pedo ; iRepresentative Adams , of the sam"
Suspend Opinion,,,,,,,"y illustrated , if Norfolk is to be taken as a sample . The general inclination was to withhold opinion until all the facts were ob ? tained . Very few expressions inimical to Spain . At the same lim"
,,Attack,,,,,"y Long positively dcntcs'that Onptain Slgsbee has In any suppressed , telegram expressed > : lv opinion that a torpedo caused the disaster or t'liat it came from tin external cause . The captain sail"
,,,,Undecided/Unclear,,,"m tin external cause . The captain sail on the contrary that he could not venture to express an opinion . The Key Wut bulletin regarding the Unding or n hole In the bottom plate of the Maine and refe"
,,,,Undecided/Unclear,,,"( he appearance > > r the wreck or in the conflicting stories ? if Hie survivors to change the opinion of tin- majority of the ollleers stationed in the Navy Deportment , that the Maine sunk as the"
Undecided/Unclear,,,,,,,"r : mil explosion . As to the origin of this cxplOsltipn there is still a wide differ ? ence of opinion , bnl the coal bunk r theory to-day finds viery many more strong supporters ihm any other theor"
,,,,Undecided/Unclear,,,"pproaching that of tho celebrated Welsh navigating coal , the British `` aval standard . In the opinion ? > ( Captain Bradford neither of these coals i. -- particularly subject to spontaneous combust"
,,,,Undecided/Unclear,,,"Admiral Sicard telegraphed Secretary Long from Key West this nfiernobn as follows : ? ? 'n the opinion or Lieutenant ! John Hood , or the .Main - . who has just ar ? rived frorii Havana , the Maine"
Accident,,,,,,,"yesl rday the divers have noi yet made any in vest ig . i ; Ion of the wreck , and the general opinion i spressed in Spanish circles is thai the explosion occurred inside the Maine . SOlCfNiKB IN TH"
,Accident,,,,,,"d men who were aboard the warship Maine at the time of the explosion , and It is I he universal opinion or all of them that ' the explosion was due to some In ? terior cause , and not the result of t"
Accident,,,,,,,"on '' of design . Therefore toy im ? pression has been all along and I rather thing the general opinion preponderates In the same direction'that it must have been accidental . `` Alt tlie Cabinet mee"
Attack,,,,,,,"ady in this clly not more than fifteen months aso . ( Concluded from First Page . ) The general opinion of many persons hero is that tho Maine was hit hy a torpedo after which the magazine ex ? plode"
,,,,Undecided/Unclear,,,"attleship Vizcaya dur- | ing her stay In 'this port . `` Lieutenant Sobrai was nfskod for his j opinion as to the cause of the explosion on the Maine . His reply was : `` I know the cause Of the expl"
,,,,,,Attack,"m I Sylvester Scovcl , under to-day 's , date ! of Havana via Key West says : Th - concensus of opinion ? i those j who have studied the wreck closest Is how thxt the explosion was caused by a submar"
Attack,,,,,,,"failed . Of course , there ure conditions under which war is unavoidable , and the concensus of opinion Is that if it Is shown that the 'Maine was destroyed by the Spaniards that war between this cou"
Attack,,,,,,,"t prevailed at Havana , and nt the time of sailing the foreign population were generally of the opinion th.U the Maine was destroyed by design . They cited , among other things iu support of this the"
Attack,,,,,,,"h organ fund Thi Maine disaster continues to be the all-absorbing topic of discussion , and the opinion prevail- that the explo ? sion was not accidental . The local company of naval reserves expect"
Attack,,,,,,,"ocities in Cuba ; they will-not submit to any at tempt at `` white-washingV in the Maine case . opinion Says Maine Was Blown Up by a Floating Torpedo , 251 OF THE OEEW ABE LOST , Qihvette Arrives at"
,,,,,,Undecided/Unclear,"of which the horror must be justly viewed . Secretary Long undoubtedly summar ized the general opinion of the major ity of the naval experts in finding it impossible just now to state the cause of t"
,,Attack,,,,,"ther , explosion of a boiler . Capt . Sigsbee , in com mand of the ship , states as his private opinion that the disaster was caused by a floating torpedo , but he asks a suspension of public opinion"
,,Suspend Opinion,,,,,"opinion that the disaster was caused by a floating torpedo , but he asks a suspension of public opinion until the matter is investigated . Such disasters have occurred through accident and the explos"
,,,,Undecided/Unclear,,,"ntable calamity , Involving lots to so mcny gallant American sailors . As to my op'cilon , what opinion could I give , when even the captain of the ship , who so luckily escaped , can give none . The"
,,,,Undecided/Unclear,,,"this will be. `` Ellison Macartney , secretary of the navy , snlil : `` I could not venture an opinion and experts to whom I have spoken today on the aubjcct could only suggest that the rnaga- zkic"
,,,,,,Undecided/Unclear,"justly viewed . THERE ARE iMt.VNY THEORIES . Secretary Long undoubtedly summarized the general opinion of the majority of the naval experts In finding It Impossible Just now to state the cause of th"
Undecided/Unclear,,,,,,,"xpected that this work will take Bomo time , and while there are officers who say that In their opinion It will not be pos sible , owing to the probably disrupted condi tion of the hull of the ship ,"
,,,Accident,,,,"l the cauo _ of the disaster was ascertained . , . . Senator Platt of Connecticut expressed the opinion that the exjilqslcn would be found to bo the result of aiiaccldent from within and ho doubted t"
Accident,,,,,,,"because of the meager- nciss of present Information as to dc-tal . 's , expressed the Informal opinion that the acci dent occurred from spontaneous combustion In the coal bunkers , the heat of which"
,,,Accident,,,,"ound Impression at the capital . Senators and members of the house , as a rule , ex pressed the opinion for publication that the catastrophe was the result of accident and not of design , but thcro w"
,,,Undecided/Unclear,,,,"effect that the affair looked very mysterious acid doubtful . As n rwult senators expremed the opinion that tbo department would and should make a thorough Investigation and added that for the pmtnt"
,,,,Undecided/Unclear,,,"pproaching that of the cele brated Wc'fh ' navlgatlm coal , the British naval standard . In the opinion of Cap tain Bradford neither of these coals arc particularly subject to spontaneous combus tion"
,,Attack,,,,,"Captain Slga- bee hau telegraphed the Naval department , using the English cipher , that In his opinion the destruction of the Maine was the act of nn enemy . This dispatch has been sup pressed by th"
,,Attack,,,,,"g positively denies that Cap tain Slgsbco has In any way In a suppressed telegram expressed the opinion that a torpedo caused the disaster or that it came from an external cause . The captain said on"
,,,,Undecided/Unclear,,,"om an external cause . The captain said on the contrary that he could not venture to express an opinion . COUHT OF IXUU1UY ISAMIJD . . Admiral Slcnril 'Given ' Out \IIIIIOM of the MfinliiTM , WASHING"
Accident,,,,,,,"an Internal explosion . As too the origin of this explosion , there U still n wldo difference- opinion , but the coal bunker theory today flnda very many more ttroog supporters than any other theory"
Undecided/Unclear,,,,,,,"Into the mud faster than it would have done If the bottom were Intact or the side . The general opinion Is that the forward magazine did not explode . There was no ammunition outsldo of tlic magazine"
